,Negative Sense Word List,Positive Sense Word List
2474,insulted,pleasing
2475,insulting,pleasurable
2476,insultingly,pleasure
2477,insults,plenitude
2478,insupportable,plenteous
2479,insurmountable,plentiful
2480,insurmountably,plenty
2481,insurrection,pliability
2482,intense,pliable
2483,interfere,plucky
2484,interference,plug
2485,interferes,plum
2486,intermittent,plummy
2487,interrupt,plump
2488,interruption,plus
2489,interruptions,plush
2490,intimidate,poet
2491,intimidating,poetic
2492,intimidatingly,poetical
2493,intimidation,poise
2494,intolerable,polish
2495,intolerance,polite
2496,intoxicate,politely
2497,intractable,politeness
2498,intransigence,popular
2499,intransigent,popularity
2500,intrude,portable
2501,intrusion,portal
2502,intrusive,portray
2503,inundate,posh
2504,inundated,positive
2505,invader,positively
2506,invalid,positivity
2507,invalidate,possess
2508,invalidity,possibility
2509,invasive,possible
2510,invective,potent
2511,inveigle,potential
2512,invidious,power
2513,invidiously,powerful
2514,invidiousness,practical
2515,invisible,practicality
2516,involuntarily,practice
2517,involuntary,practiced
2518,irascible,pragmatic
2519,irate,pragmatically
2520,irately,praise
2521,ire,praiseworthy
2522,irk,pray
2523,irked,prayer
2524,irking,precious
2525,irks,precise
2526,irksome,precisely
2527,irksomely,precision
2528,irksomeness,predominant
2529,ironic,preeminent
2530,ironical,preferable
2531,ironically,preferred
2532,ironies,premier
2533,irony,premium
2534,irrational,prepare
2535,irrationality,prepared
2536,irrationally,preparedness
2537,irrationals,preponderant
2538,irreconcilable,prepotent
2539,irrecoverable,presence
2540,irrecoverably,present
2541,irredeemable,preservation
2542,irredeemably,preserve
2543,irregular,president
2544,irregularity,prestige
2545,irrelevance,prestigious
2546,irrelevant,presto
2547,irreparable,prettiness
2548,irrepressible,pretty
2549,irresolute,prevail
2550,irresoluteirresponsible,prevailing
2551,irresponsible,prevalent
2552,irresponsibly,priceless
2553,irresponsiblyirretrievable,pride
2554,irretrievable,primal
2555,irreversible,primary
2556,irritable,prime
2557,irritably,primo
2558,irritant,prince
2559,irritate,princely
2560,irritated,princess
2561,irritating,principal
2562,irritation,principle
2563,irritations,principled
2564,isolate,prior
2565,isolated,priority
2566,isolation,pristine
2567,issue,privacy
2568,issues,private
2569,itch,privilege
2570,itching,privileged
2571,itchy,prize
2572,jabber,prized
2573,jaded,prizewinner
2574,jagged,pro
2575,jam,proactive
2576,jarring,process
2577,jaundiced,prodigious
2578,jealous,prodigy
2579,jealously,produce
2580,jealousness,productive
2581,jealousy,productively
2582,jeer,productivity
2583,jeering,professional
2584,jeeringly,professor
2585,jeers,proficient
2586,jeopardize,profit
2587,jeopardy,profitable
2588,jerk,profound
2589,jerky,profoundly
2590,jitter,profuse
2591,jitters,profusion
2592,jittery,progress
2593,job-killing,progressive
2594,jobless,prolific
2595,joke,prominence
2596,joker,prominent
2597,jolt,prominently
2598,judder,promise
2599,juddering,promising
2600,judders,promisingly
2601,jumpy,promote
2602,junk,promotion
2603,junky,prompt
2604,junkyard,promptly
2605,kill,proper
2606,killed,properly
2607,killer,propitious
2608,killing,proponent
2609,killjoy,propose
2610,kills,prospect
2611,knave,prospective
2612,knife,prosper
2613,knock,prosperity
2614,knotted,prosperous
2615,kook,protagonist
2616,kooky,protect
2617,lack,protected
2618,lackadaisical,protective
2619,lacked,protector
2620,lackey,protege
2621,lackeys,proud
2622,lacking,proudly
2623,lackluster,proven
2624,lacks,provider
2625,laconic,provocative
2626,lag,prowess
2627,lagged,prudence
2628,lagging,prudent
2629,lags,psychics
2630,laid-off,psychotherapy
2631,lambast,pukka
2632,lambaste,pumped
2633,lame,punchy
2634,lame-duck,punctilious
2635,lament,punctual
2636,lamentable,punctuality
2637,lamentably,puppy
2638,languid,pure
2639,languish,purely
2640,languor,purify
2641,languorous,purity
2642,languorously,purpose
2643,lanky,purposeful
2644,lapse,quadruple
2645,lapsed,quaff
2646,lapses,quaint
2647,lascivious,quaintise
2648,last-ditch,quaintisiness
2649,latency,quaintly
2650,laughable,qualified
2651,laughably,qualify
2652,laughingstock,qualitative
2653,lawbreaker,qualitatively
2654,lawbreaking,quality
2655,lawless,quality-assurance
2656,lawlessness,quality-of-life
2657,layoff,quality-time
2658,layoff-happy,quantifiable
2659,lazy,quantity
2660,leak,quarter
2661,leakage,quat
2662,leakages,queen
2663,leaking,queenhood
2664,leaks,queenly
2665,leaky,queep
2666,lecher,quell
2667,lecherous,quemeful
2668,lechery,quench
2669,leech,quenching
2670,leer,querist
2671,leery,quest
2672,left-leaning,quester
2673,lemon,question
2674,lengthy,qui
2675,less-developed,quick
2676,lesser-known,quick-as-a-flash
2677,letch,quick-march
2678,lethal,quick-moving
2679,lethargic,quick-release
2680,lethargy,quick-sighted
2681,lewd,quick-thinking
2682,lewdly,quick-witted
2683,lewdness,quick-wittedly
2684,liability,quicken
2685,liable,quickening
2686,liar,quicker
2687,liars,quickly
2688,licentious,quickness
2689,licentiously,quickstep
2690,licentiousness,quiddity
2691,lie,quiescent
2692,lied,quiet
2693,lies,quieter
2694,life-threatening,quietly
2695,lifeless,quietness
2696,limit,quietsome
2697,limitation,quillet
2698,limitations,quintessence
2699,limited,quintessential
2700,limits,quintessentially
2701,limp,quip
2702,listless,quirk
2703,litigious,quirky
2704,little-known,quite
2705,livid,quiver
2706,lividly,quixotic
2707,loath,quiz
2708,loathe,quota
2709,loathing,quotable
2710,loathly,quotation
2711,loathsome,quote
2712,loathsomely,quotes
2713,lone,quotha
2714,loneliness,quotidian
2715,lonely,racy
2716,loner,rad
2717,lonesome,radiance
2718,long-time,radiant
2719,long-winded,radiantly
2720,longing,radiate
2721,longingly,rah
2722,loophole,rain-maker
2723,loopholes,rainbow
2724,loose,raison-d’etre
2725,lootlose,rambunctious
2726,loselousylumpy,rapid
2727,loser,rapidly
2728,losers,rapport
2729,loses,rapt
2730,losing,rapture
2731,loss,rapturous
2732,losses,rapturously
2733,lost,rasasvada
2734,loud,rational
2735,louder,rationality
2736,lousy,rationally
2737,loveless,ravish
2738,lovelorn,ravishing
2739,low-rated,ravishingly
2740,lowly,razor-sharp
2741,ludicrous,re-connection
2742,ludicrously,reachable
2743,lugubrious,readable
2744,lukewarm,readily
2745,lull,readiness
2746,lumpy,ready
2747,lunaticlurch,reaffirm
2748,lure,reaffirmation
2749,lurid,real
2750,lurk,realistic
2751,lurking,reality
2752,lying,realizable
2753,macabre,really
2754,mad,reap
2755,madden,reason
2756,maddening,reasonable
2757,maddeningly,reasonably
2758,madder,reasoned
2759,madly,reassurance
2760,madman,reassure
2761,madness,reassuring
2762,maladjusted,reassuringly
2763,maladjustment,reborn
2764,malady,receive
2765,malaise,receiver
2766,malcontent,reception
2767,malcontented,receptive
2768,maledict,receptively
2769,malevolence,recherche
2770,malevolent,recipient
2771,malevolently,reciprocal
2772,malice,reciprocally
2773,malicious,reciprocate
2774,maliciously,reclaim
2775,maliciousness,recognition
2776,malign,recognizable
2777,malignant,recognize
2778,malodorous,recognized
2779,maltreatment,recommend
2780,mangle,recommendable
2781,mangled,recommendation
2782,mangles,recommendations
2783,mangling,recommended
2784,mania,reconcile
2785,maniac,reconciliation
2786,maniacal,record-setting
2787,manic,recover
2788,manipulate,recovery
2789,manipulation,recreation
2790,manipulative,rectification
2791,manipulators,rectify
2792,mar,rectifying
2793,marginal,recuperation
2794,marginally,recuperative
2795,martyrdom,red-carpet
2796,martyrdom-seeking,redeem
2797,mashed,redeeming
2798,massacre,redemption
2799,massacres,refine
2800,matte,refined
2801,mawkish,refinement
2802,mawkishly,reflection
2803,mawkishness,reflective
2804,meager,reflectively
2805,mean,reform
2806,meaningless,reformed
2807,meanness,reforming
2808,measly,reforms
2809,meddle,refresh
2810,meddlesome,refreshed
2811,mediocre,refreshing
2812,mediocrity,refreshingly
2813,melancholy,refulgent
2814,melodramatic,refund
2815,melodramatically,refunded
2816,meltdown,regal
2817,menace,regally
2818,menacing,regard
2819,menacingly,regnant
2820,mendacious,regular
2821,mendacity,regulator
2822,menial,reincarnation
2823,merciless,rejoice
2824,mercilessly,rejoicing
2825,mess,rejoicingly
2826,messed,rejuvenate
2827,messes,rejuvenated
2828,messing,rejuvenating
2829,messy,rejuvenation
2830,midget,rejuvenescent
2831,miff,relatedness
2832,militancy,relationships
2833,mindless,relax
2834,mindlessly,relaxation
2835,mirage,relaxed
2836,mire,relaxing
2837,misalign,relaxingly
2838,misaligned,release
2839,misaligns,releasing
2840,misapprehend,relent
2841,misbecome,relevant
2842,misbecoming,reliability
2843,misbegotten,reliable
2844,misbehave,reliably
2845,misbehavior,relief
2846,miscalculate,relieve
2847,miscalculation,relieved
2848,miscellaneous,reliever
2849,mischief,religion
2850,mischievous,relish
2851,mischievously,remarkable
2852,misconception,remarkably
2853,misconceptions,remedy
2854,miscreant,remission
2855,miscreants,remissive
2856,misdirection,remunerate
2857,miser,renaissance
2858,miserable,renew
2859,miserableness,renewed
2860,miserably,renovate
2861,miseries,renovation
2862,miserly,renown
2863,misery,renowned
2864,misfit,replaceable
2865,misfortune,repose
2866,misgiving,represent
2867,misgivings,reputable
2868,misguidance,reputably
2869,misguide,reputation
2870,misguided,resilience
2871,mishandle,resilient
2872,mishap,resiliently
2873,misinform,resolute
2874,misinformed,resolutely
2875,misinterpret,resolve
2876,misjudge,resolved
2877,misjudgment,resound
2878,mislead,resounding
2879,misleading,resoundingly
2880,misleadingly,resource
2881,mismanage,resourceful
2882,mispronounce,resourcefully
2883,mispronounced,resourcefulness
2884,mispronounces,respect
2885,misread,respectable
2886,misreading,respectably
2887,misrepresent,respected
2888,misrepresentation,respectful
2889,miss,respectfully
2890,missed,respite
2891,misses,resplendent
2892,misshapen,resplendently
2893,missing,responsibility
2894,misstatement,responsible
2895,mist,responsibly
2896,mistake,responsive
2897,mistaken,responsively
2898,mistakenly,rest
2899,mistakes,rested
2900,mistress,restful
2901,mistrust,restfully
2902,mistrustful,restoration
2903,mistrustfully,restorative
2904,mists,restoratively
2905,misunderstand,restore
2906,misunderstanding,restored
2907,misunderstandings,restructure
2908,misunderstood,restructured
2909,misuse,restructuring
2910,moan,result
2911,mobster,results
2912,mock,retentive
2913,mocked,retentively
2914,mockeries,retractable
2915,mockery,return
2916,mocking,reveal
2917,mockingly,revealing
2918,mocks,revel
2919,moldy,revelation
2920,molest,revere
2921,molestation,revered
2922,monotonous,reverence
2923,monotony,reverent
2924,monster,reverently
2925,monstrosities,revitalize
2926,monstrosity,revitalizing
2927,monstrous,revival
2928,monstrously,revive
2929,moody,revived
2930,moot,revives
2931,mope,revolutionary
2932,morbid,revolutionize
2933,morbidly,revolutionized
2934,mordant,revolutionizes
2935,mordantly,reward
2936,moribund,rewardable
2937,moron,rewarding
2938,moronic,rewardingly
2939,morons,rhapsodic
2940,mortification,rhapsodically
2941,mortified,rhapsody
2942,mortify,rich
2943,mortifying,richer
2944,motionless,richly
2945,motley,richness
2946,mourn,right
2947,mourner,right-o
2948,mournful,righten
2949,mournfully,righteous
2950,mouth,righteously
2951,muddle,righteousness
2952,muddy,rightful
2953,mudslinger,rightfully
2954,mudslinging,rightly
2955,mulish,rightness
2956,multi-polarization,ripe
2957,mundane,rise
2958,murder,risible
2959,murderer,risibly
2960,murderous,risk-free
2961,murderously,risk-taking
2962,murky,robust
2963,muscle-flexing,robustly
2964,mushy,rock
2965,musty,roger
2966,mysterious,roger-that
2967,mysteriously,roll
2968,mystery,rollick
2969,mystify,rollicking
2970,myth,rollickingly
2971,mythmalicious,romance
2972,nag,romantic
2973,nagging,romantically
2974,naive,romanticize
2975,naively,romeo
2976,narrower,roomier
2977,nastily,roomy
2978,nastiness,rooted
2979,nasty,rooter
2980,naughty,rose
2981,nauseate,rosily
2982,nauseates,rosiness
2983,nauseating,rosy
2984,nauseatingly,round
2985,naïve,rounded
2986,nebulous,rouse
2987,nebulously,rousing
2988,needless,rousingly
2989,needlessly,royal
2990,needy,rugged
2991,nefarious,ruggedly
2992,nefariously,ruler
2993,negate,ruling
2994,negation,run
2995,negative,run-after
2996,negatives,run-for-my-money
2997,negativity,runner
2998,neglect,sabbath
2999,neglected,saccharine
3000,negligence,sacd
3001,negligent,sachem
3002,nemesis,sacralise
3003,nepotism,sacralization
3004,nervous,sacralize
3005,nervously,sacred
3006,nervousness,sacrifice
3007,nettle,sacrificial
3008,nettlesome,sacrificially
3009,neurotic,sacring
3010,neurotically,sacrosanct
3011,never,sadhu
3012,niggle,safe
3013,niggles,safe-bet
3014,nightmare,safe-guard
3015,nightmarish,safe-house
3016,nightmarishly,safe-keeping
3017,nitpick,safe-period
3018,nitpicking,safe-sex
3019,no,safely
3020,nobody,safeness
3021,noise,safety
3022,noises,safety-belt
3023,noisier,safety-cage
3024,noisy,safety-catch
3025,non-confidence,safety-curtain
3026,nondescript,safety-film
3027,nonexistent,safety-glass
3028,nonresponsive,safety-lamp
3029,nonsense,safety-match
3030,nosey,safety-net
3031,not,safety-pin
3032,notoriety,safety-razor
3033,notorious,safety-use
3034,notoriously,safety-valve
3035,noxious,saga
3036,nuisance,sagacious
3037,numb,sagaciously
3038,obese,sagacity
3039,object,sagamore
3040,objection,saganaki
3041,objectionable,sage
3042,objections,sagely
3043,oblique,sago
3044,obliterate,sahib
3045,obliterated,sail
3046,oblivious,saint
3047,obnoxious,saintliness
3048,obnoxiously,saintly
3049,obscene,saints-day
3050,obscenely,salaam
3051,obscenity,salary
3052,obscure,sale
3053,obscured,saleable
3054,obscures,salient
3055,obscurity,saliently
3056,obsess,salivate
3057,obsessive,sally-lunn
3058,obsessively,saloon-car
3059,obsessiveness,salt-of-the-earth
3060,obsolete,salubrious
3061,obstacle,salubriously
3062,obstinate,salubrity
3063,obstinately,salut
3064,obstruct,salutary
3065,obstructed,salutation
3066,obstructing,salutational
3067,obstruction,salutatorian
3068,obstructs,salutatory
3069,obtrusive,salute
3070,obtuse,salutiferous
3071,occlude,salvage
3072,occluded,salvation
3073,occludes,salvationist
3074,occluding,salve
3075,odd,samaritan
3076,odder,samskara
3077,oddest,sanative
3078,oddities,sanctification
3079,oddity,sanctified
3080,oddly,sanctifier
3081,odious,sanctify
3082,odor,sanctifying
3083,offence,sanctimonious
3084,offend,sanction
3085,offender,sanctioned
3086,offending,sanctitude
3087,offenses,sanctity
3088,offensive,sanctuary
3089,offensively,sanctum
3090,offensiveness,sanctus
3091,officious,sand-pit
3092,old,sandlot
3093,ominous,sane
3094,ominously,sanely
3095,omission,saneness
3096,omit,sangfroid
3097,one-sided,sanguine
3098,onerous,sanguinely
3099,onerously,sanguineness
3100,onslaught,sanitarily
3101,opinionated,sanitariness
3102,opponent,sanitary
3103,opportunistic,sanitize
3104,oppose,sanity
3105,opposition,santa
3106,oppositions,santa-claus
3107,oppress,sap
3108,oppression,sapid
3109,oppressive,sapidity
3110,oppressively,sapience
3111,oppressiveness,sapient
3112,oppressors,sapientia
3113,ordeal,sapiential
3114,orphan,sapiently
3115,ostracize,sapling
3116,outbreak,sardar
3117,outburst,sassy
3118,outbursts,sate
3119,outcast,satiable
3120,outcry,satiate
3121,outlaw,satiation
3122,outmoded,satiety
3123,outrage,satisfaction
3124,outraged,satisfactorily
3125,outrageous,satisfactoriness
3126,outrageously,satisfactory
3127,outrageousness,satisfiability
3128,outrages,satisfiable
3129,outsider,satisfied
3130,over-acted,satisfies
3131,over-awe,satisfy
3132,over-balanced,satisfying
3133,over-hyped,satisfyingly
3134,over-priced,satori
3135,over-valuation,satsang
3136,overact,satsanga
3137,overacted,saturated
3138,overawe,saturnalia
3139,overbalance,saucily
3140,overbalanced,sauciness
3141,overbearing,saucy
3142,overbearingly,sauna
3143,overblown,saunter
3144,overdo,savant
3145,overdone,save
3146,overdue,save-a-packet
3147,overemphasize,saver
3148,overheat,saving
3149,overkill,saving-grace
3150,overloaded,savings
3151,overlook,savior
3152,overpaid,saviour
3153,overplay,savoir-faire
3154,overpower,savor
3155,overpriced,savory
3156,overrated,savour
3157,overreach,savouring
3158,overrun,savoury
3159,overshadow,savvied
3160,oversight,savvier
3161,oversights,savvies
3162,oversimplification,savviest
3163,oversimplified,savvy
3164,oversimplify,savvying
3165,oversize,say
3166,overstate,scale-of-god
3167,overstated,scamper
3168,overstatement,scenic
3169,overstatements,scherzando
3170,overstates,scherzo
3171,overtaxed,schmooze
3172,overtaxoved,scholar
3173,overthrow,scholarly
3174,overthrows,scholarship
3175,overturn,school
3176,overweight,schoolmate
3177,overwhelm,science
3178,overwhelmed,scientific
3179,overwhelming,scintillate
3180,overwhelmingly,scintillating
3181,overwhelms,scintillatingly
3182,overzealous,scintillation
3183,overzealously,scintillator
3184,pain,scion
3185,painful,scope
3186,painfully,score
3187,pains,scores
3188,pale,scot-free
3189,pales,scrappy
3190,paltry,scream
3191,pan,screamer
3192,pandemonium,script
3193,pander,scripter
3194,pandering,scrummier
3195,panders,scrummiest
3196,panic,scrummy
3197,panicked,scrumptious
3198,panicking,scrumptiously
3199,panicky,scrumptiousness
3200,paradoxical,scrupulous
3201,paradoxically,sculp
3202,paralyzed,sculptor
3203,paranoia,seamless
3204,paranoid,season
3205,parasite,seasonable
3206,pariah,seasoned
3207,parody,seaworthy
3208,partiality,secluded
3209,partisan,seclusion
3210,partisans,second-advent
3211,passive,second-sight
3212,passiveness,second-sighted
3213,pathetic,second-wind
3214,pathetically,secure
3215,patronize,secured
3216,paucity,securely
3217,pauper,security
3218,paupers,seductive
3219,payback,sedulity-
3220,peculiar,sedulous
3221,peculiarly,sedulously
3222,pedantic,sedulously–
3223,peeled,sedulousness-
3224,peeve,sedulous–
3225,peeved,see-ya
3226,peevish,seek
3227,peevishly,seeker
3228,penalize,seem
3229,penalty,seemly
3230,perfidious,select
3231,perfunctory,selective
3232,peril,self-acceptance
3233,perilous,self-affirmation
3234,perilously,self-analysing
3235,perish,self-analysis-
3236,pernicious,self-assertive
3237,perplex,self-assurance
3238,perplexed,self-assured
3239,perplexing,self-awareness
3240,perplexity,self-belief
3241,persecute,self-compassion
3242,persecution,self-confidence
3243,pertinacious,self-confident
3244,pertinaciously,self-confident-
3245,pertinacity,self-confidently
3246,perturb,self-confidently-
3247,perturbed,self-consistency
3248,pervasive,self-consistent
3249,perverse,self-control
3250,perversely,self-controlled
3251,perversion,self-defence
3252,perversity,self-defensive
3253,pervert,self-determination
3254,perverted,self-discipline
3255,perverts,self-disciplined
3256,pessimism,self-discovery
3257,pessimistic,self-esteem
3258,pessimistically,self-expression
3259,pest,self-forgiveness
3260,pestilent,self-fulfilling
3261,petrified,self-help
3262,petrify,self-kindness
3263,pettifog,self-love
3264,petty,self-made
3265,phobia,self-protection
3266,phobic,self-realisation
3267,phony,self-realization
3268,picket,self-respect
3269,picketed,self-sacrifice-
3270,picketing,self-sacrificing
3271,pickets,self-satisfaction
3272,picky,self-starter
3273,pig,self-starting
3274,pigs,self-sufficiency
3275,pillage,self-sufficient
3276,pillory,self-sufficient-
3277,pimple,self-sustained
3278,pinch,self-sustaining
3279,pique,self-taughtself-worth
3280,pitiable,selfless
3281,pitiful,selflessly
3282,pitifully,selflessness
3283,pitiless,selling-point-
3284,pitilessly,sensation
3285,pittance,sensational
3286,pity,sensationally
3287,plagiarize,sensations
3288,plague,sense
3289,plain,sensibility
3290,plaything,sensible
3291,plea,sensibly
3292,pleas,sensitive
3293,plebeian,sensitively
3294,plight,sensitivity
3295,plot,sensitize
3296,plotters,sensual
3297,ploy,sensuous
3298,plunder,sensuously
3299,plunderer,sentient
3300,pointless,sentiment
3301,pointlessly,sentimental
3302,poison,sentimental-value
3303,poisonous,sentimentally
3304,poisonously,sentinel
3305,pokey,sequacious
3306,poky,sequin
3307,pollute,serenade
3308,polluter,serenader
3309,polluters,serendipitous
3310,pompous,serendipitously
3311,poor,serendipity
3312,poorer,serene
3313,poorest,serenely
3314,poorly,serenity
3315,posturing,serious
3316,pout,seriously
3317,poverty,serve
3318,powerless,server
3319,prate,service
3320,pratfall,serviceable
3321,prattle,set
3322,precarious,settled
3323,precariously,settling
3324,precipitate,seventh-day-adventist
3325,precipitous,sex-appeal
3326,predatory,sex-bomb
3327,predicament,sex-symbol
3328,prejudge,sexcentenary
3329,prejudice,sexiness
3330,prejudices,sexpot
3331,prejudicial,sexual
3332,premeditated,sexy
3333,preoccupy,sfx
3334,preposterous,sgraffito
3335,preposterously,shabash
3336,presumptuous,shabbat
3337,presumptuously,shabbos
3338,pretend,shalom
3339,pretense,shape
3340,pretentious,shape-shifting
3341,pretentiously,shapeliness
3342,prevaricate,shapely
3343,pricey,share
3344,pricier,share-out
3345,prick,sharp
3346,prickle,sharp-featured
3347,prickles,sharp-witted
3348,pridefulprimitive,sharp-wittedness
3349,prison,sharper
3350,prisoner,sharpest
3351,problem,sharpness
3352,problematic,sharpy
3353,problems,shaver
3354,procrastinate,shazaam
3355,procrastinates,shazam
3356,procrastination,sheen
3357,profane,sheeniest
3358,profanity,sheeny
3359,prohibit,sheer
3360,prohibitive,shekhinah
3361,prohibitively,shelter
3362,propaganda,shift
3363,propagandize,shifting
3364,proprietary,shimmering
3365,prosecute,shimmeringly
3366,protest,shimmery
3367,protested,shindig
3368,protesting,shindy
3369,protests,shine
3370,protracted,shine-shining
3371,provocation,shiner
3372,provocative,shine–shining
3373,provoke,shining
3374,pry,shiningly
3375,pugnacious,shiny
3376,pugnaciously,shipshape
3377,pugnacity,show
3378,punch,show-up-more-present
3379,punish,showy
3380,punishable,shrewd
3381,punitive,shrewdess
3382,punk,shy
3383,puny,sight
3384,puppet,sightly
3385,puppets,significance
3386,puzzled,significant
3387,puzzlement,significantly
3388,puzzling,silent
3389,quack,silver
3390,qualm,simple
3391,qualms,simpler
3392,quandary,simplest
3393,quarrelquarrels,simplicity
3394,quarrelsome,simplified
3395,quash,simplifies
3396,queer,simplify
3397,questionable,simplifying
3398,quibble,simply
3399,quibbles,sincere
3400,quirky,sincerely
3401,quit,sincerity
3402,quitter,sinew
3403,rabid,sinewy
3404,racism,singular
3405,racist,sir
3406,racists,sire
3407,racy,sister
3408,radical,sisterly
3409,radicalization,sizable
3410,radically,size
3411,radicals,sizzling
3412,rage,skilful
3413,ragged,skilfully
3414,raging,skill
3415,rail,skilled
3416,raked,skillful
3417,rampage,skipper
3418,rampant,sky-high
3419,ramshackle,slammin
3420,rancor,sleek
3421,randomly,sleekly
3422,rankle,sleekness
3423,rant,sleeky
3424,ranted,sleep
3425,ranting,sleep-tight
3426,rants,slender
3427,rape,slick
3428,raped,sloane
3429,raping,sloaney
3430,rascal,sloe-eyed
3431,rascals,slumber-party
3432,rash,small-fry
3433,rattle,smarm
3434,rattled,smart
3435,rattles,smarten
3436,ravage,smarter
3437,raving,smartest
3438,reactionary,smartly
3439,rebellious,smartness
3440,rebuff,smash
3441,rebuke,smashing
3442,recalcitrant,smashingly
3443,recant,smile
3444,recession,smiles
3445,recessionary,smiling
3446,reckless,smilingly
3447,recklessly,smitten
3448,recklessness,smooch
3449,recoil,smoocher
3450,recourses,smooching
3451,redundancy,smoochy
3452,redundant,smoodge
3453,refusal,smooth
3454,refuse,smoother
3455,refused,smoothes
3456,refuses,smoothest
3457,refusing,smoothie
3458,refutation,smoothly
3459,refute,snap
3460,refuted,snappy
3461,refutes,snazzily
3462,refuting,snazziness
3463,regress,snazzy
3464,regression,snod
3465,regressive,snog
3466,regret,snoot
3467,regretful,snug
3468,regretfully,snugged
3469,regrets,snuggery
3470,regrettable,snugging
3471,regrettably,snuggle
3472,regretted,snugly
3473,reject,snugness
3474,rejected,snugs
3475,rejecting,soar
3476,rejection,soaraway
3477,rejects,soarer
3478,relapse,soaring
3479,relentless,soaringly
3480,relentlessly,sober
3481,relentlessness,sobriety
3482,reluctance,sociable
3483,reluctant,sociably
3484,reluctantly,social
3485,remorse,social-partner
3486,remorseful,socialise
3487,remorsefully,socialization
3488,remorseless,socialize
3489,remorselessly,socializer
3490,remorselessness,socializing
3491,renounce,socially
3492,renunciation,societal
3493,repel,soft
3494,repetitive,soft-hearted
3495,reprehensible,soft-heartedness
3496,reprehensibly,softer
3497,reprehension,softly
3498,reprehensive,soigne
3499,repress,sol
3500,repression,solace
3501,repressive,solar
3502,reprimand,solatium
3503,reproach,soldier-of-christ
3504,reproachful,solemn
3505,reprove,solemness
3506,reprovingly,solemnity
3507,repudiate,solemnize
3508,repudiation,solemny
3509,repugnance,solicitous
3510,repugnant,solicitously
3511,repugnantly,solicitude
3512,repulse,solid
3513,repulsed,solidarity
3514,repulsing,solidary
3515,repulsive,solidify
3516,repulsively,solidly
3517,repulsiveness,son-of-man
3518,resent,songbird
3519,resentful,sonsy
3520,resentment,sooth
3521,resignation,soothe
3522,resigned,soothing
3523,resistance,soothingly
3524,restless,sophisticate
3525,restlessness,sophisticated
3526,restrict,sophisticatedly
3527,restricted,sorry
3528,restriction,sorted
3529,restrictive,sos
3530,resurgent,soteriology
3531,retaliate,sought-after
3532,retaliatory,soul
3533,retard,soul-food
3534,retarded,soul-stretching
3535,retards,soulful
3536,reticent,soulfully
3537,retract,soulmate
3538,retreat,sound
3539,retreated,soundly
3540,revenge,soundness
3541,revengeful,soundproof
3542,revengefully,sounds-good
3543,revert,soup-kitchen
3544,revile,soup-up
3545,reviled,souped-up
3546,revoke,souvenir
3547,revolt,sovereign
3548,revolting,sovreign
3549,revoltingly,space
3550,revulsion,spacious
3551,revulsive,spanking
3552,rhapsodize,spark
3553,rhetoric,sparkle
3554,rhetorical,sparkles
3555,ricer,sparkling
3556,ridicule,sparkly
3557,ridicules,spearhead
3558,ridiculous,special
3559,ridiculously,specialist
3560,rife,speciality
3561,rift,specialize
3562,rifts,specially
3563,rigid,spectacle
3564,rigidity,spectacular
3565,rigidness,spectacularly
3566,rile,speed
3567,riled,speed-dating
3568,rip,speedily
3569,rip-off,speedy
3570,ripped,spell
3571,risk,spellbind
3572,risks,spellbinding
3573,risky,spellbindingly
3574,rival,spellbound
3575,rivalry,spending-money
3576,roadblocks,spice
3577,rocky,spicky-and-span
3578,rogue,spicy
3579,rollercoaster,spiff
3580,rot,spiffing
3581,rotten,spiffy
3582,rough,spine-tingling
3583,rubbish,spirit
3584,rude,spirited
3585,rue,spiritedly
3586,ruffian,spiritual
3587,ruffle,spiritual-order
3588,ruin,spiritually
3589,ruined,splendent
3590,ruining,splendid
3591,ruinous,splendidly
3592,ruins,splendiferous
3593,rumbling,splendiferously
3594,rumor,splendor
3595,rumors,splendour
3596,rumple,splurge
3597,run-down,spoil
3598,runaway,sponsor
3599,rupture,spontaneity
3600,rust,spontaneous
3601,rusts,spontaneously
3602,rusty,sport
3603,rut,sporting
3604,ruthless,sportingly
3605,ruthlessly,sportive
3606,ruthlessness,sportively
3607,ruts,sportsmanship
3608,sabotage,sporty
3609,sack,spot
3610,sacrificed,spot-on
3611,sad,spotless
3612,sadden,spotlessly
3613,sadly,sprauncy
3614,sadness,sprightly
3615,sag,sprite
3616,sagged,sprout
3617,sagging,spruce
3618,saggy,sprung
3619,sags,spry
3620,salacious,spunk
3621,sanctimonious,spunky
3622,sap,square
3623,sarcasm,square-meal
3624,sarcastic,squire
3625,sarcastically,sshhhh!
3626,sardonic,stability
3627,sardonically,stabilization
3628,sass,stabilize
3629,satirical,stabilizerstable
3630,satirize,stable
3631,savage,stablish
3632,savaged,stably
3633,savagery,stacked
3634,savages,stag-night
3635,scaly,stage-struck
3636,scam,staid
3637,scams,stainless
3638,scandal,stand-alone
3639,scandalize,stand-up
3640,scandalized,standard-bearer
3641,scandalous,standardize
3642,scandalously,standing-ovation
3643,scandals,standout
3644,scant,star
3645,scapegoat,star-in-its-own-right
3646,scar,star-spangled
3647,scarce,star-struck
3648,scarcely,star-studded
3649,scarcity,starlet
3650,scare,starry
3651,scared,stars
3652,scarier,start
3653,scariest,state
3654,scarily,state-of-the-art
3655,scarred,stately
3656,scars,statuesque
3657,scary,stature
